,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol
ENSMUSG00000038526,373.3548442,-0.925939408,0.25747515,-3.594687441,0.000324781,0.016493739,Car14
ENSMUSG00000027562,363.969772,1.269330973,0.332843043,3.823823166,0.000131398,0.008310319,Car2
ENSMUSG00000041261,1633.998024,-0.982118166,0.216587582,-4.533498901,5.80E-06,0.000603448,Car8
ENSMUSG00000028463,7.592499738,1.410074989,0.398735771,4.393923768,1.11E-05,0.001095448,Car9
ENSMUSG00000091476,62.1521667,3.563043208,0.403463317,7.882833842,3.20E-15,3.49E-12,Catspere2
ENSMUSG00000022947,19.04814224,2.029980683,0.412023037,5.745449067,9.17E-09,2.17E-06,Cbr3
ENSMUSG00000031150,49.87715401,1.366190978,0.362250909,3.775986378,0.000159376,0.009651084,Ccdc120
ENSMUSG00000022701,6.931308586,1.266332135,0.406351088,3.259524514,0.001115991,0.040764128,Ccdc191
ENSMUSG00000022665,155.0926836,0.824944906,0.25618356,3.219514642,0.001284078,0.044926878,Ccdc80
ENSMUSG00000035385,87.10979684,1.437651169,0.3613567,3.993049024,6.52E-05,0.004526497,Ccl2
ENSMUSG00000031779,11.11030214,1.405666587,0.410146823,3.610719169,0.000305349,0.015733809,Ccl22
ENSMUSG00000034783,28.54181899,1.242738888,0.391740516,3.190559613,0.001419975,0.048983901,Cd207
ENSMUSG00000035914,54.8833919,1.515975884,0.405734747,3.831433835,0.000127399,0.008095241,Cd276
ENSMUSG00000025351,153.4529107,2.412170105,0.364173925,6.678838041,2.41E-11,1.03E-08,Cd63
ENSMUSG00000018774,78.0828994,1.157494513,0.355913013,3.258679219,0.001119322,0.040773229,Cd68
ENSMUSG00000030342,299.210464,1.068370444,0.30079841,3.554500306,0.000378698,0.018176936,Cd9
ENSMUSG00000017499,11.51274654,1.471235433,0.413494728,3.639902988,0.000272741,0.01447467,Cdc6
ENSMUSG00000024791,13.3468233,1.230921433,0.40644473,3.311965794,0.000926429,0.035288965,Cdca5
ENSMUSG00000021175,14.90707712,2.493405818,0.412863826,5.956367101,2.58E-09,7.17E-07,Cdca7l
ENSMUSG00000019942,63.92147133,1.204418679,0.3256766,3.694795219,0.000220064,0.012276803,Cdk1
ENSMUSG00000023067,40.18827047,1.525030825,0.394164498,3.901644196,9.55E-05,0.006238817,Cdkn1a
ENSMUSG00000074272,2593.905176,-0.729286329,0.220741098,-3.303243393,0.000955734,0.035976392,Ceacam1
ENSMUSG00000056216,619.1109785,1.615603772,0.236555319,6.829469929,8.52E-12,4.61E-09,Cebpg
ENSMUSG00000031725,7110.893513,0.722579805,0.195686448,3.692908539,0.000221704,0.012310641,Ces1f
ENSMUSG00000062181,5186.663223,-0.982541253,0.27215758,-3.608161083,0.000308375,0.015832152,Ces3b
ENSMUSG00000056608,946.9709709,0.967056298,0.213654739,4.526642411,5.99E-06,0.000610923,Chd9
ENSMUSG00000064246,15.0639874,1.266991725,0.410886463,3.335094167,0.000852705,0.033103651,Chil1
ENSMUSG00000032773,5.470093671,-1.686568756,0.400816895,-4.628540039,3.68E-06,0.000420818,Chrm1
ENSMUSG00000074240,87.74538931,0.830557436,0.356059709,4.635613913,3.56E-06,0.000409985,Cib3
ENSMUSG00000030364,47.63141346,-2.270660588,0.413602231,-5.748982672,8.98E-09,2.16E-06,Clec2h
ENSMUSG00000079293,247.6742944,1.482792142,0.356053098,4.18722545,2.82E-05,0.002299655,Clec7a
ENSMUSG00000063146,46.15723353,1.659006653,0.304245435,5.406275052,6.43E-08,1.25E-05,Clip2
ENSMUSG00000001506,144.5308065,2.447177359,0.351483947,6.987262596,2.80E-12,1.65E-09,Col1a1
ENSMUSG00000029661,305.7500762,1.440491694,0.311222017,4.635801726,3.56E-06,0.000409985,Col1a2
ENSMUSG00000026043,1320.926933,1.133685074,0.232902074,4.868852767,1.12E-06,0.000154423,Col3a1
ENSMUSG00000031502,318.370531,1.017879043,0.303828009,3.352964171,0.000799511,0.031645432,Col4a1
ENSMUSG00000005220,40.66743331,2.643571351,0.399182213,6.507032188,7.66E-11,2.90E-08,Corin
ENSMUSG00000039782,492.9273243,-1.088000536,0.341094864,-3.183985843,0.001452621,0.049718942,Cpeb2
ENSMUSG00000023044,1685.375196,1.34763459,0.359007611,3.778324269,0.000157887,0.009651084,Csad
ENSMUSG00000071714,33.29263202,1.818985295,0.411450362,4.624349369,3.76E-06,0.00042598,Csf2rb2
ENSMUSG00000005054,403.2934323,1.122297332,0.328240031,3.426735568,0.000610884,0.026072955,Cstb
ENSMUSG00000087382,41.63615643,-1.229413616,0.36111493,-3.392910576,0.000691542,0.02865249,Ctcflos
ENSMUSG00000031360,449.6756235,1.254035793,0.194802868,6.435011107,1.23E-10,4.37E-08,Ctps2
ENSMUSG00000021939,10861.50999,0.55240623,0.169022598,3.268364282,0.00108171,0.039812563,Ctsb
ENSMUSG00000004552,436.3328078,4.728065066,0.362670622,12.8278208,1.15E-37,5.41E-34,Ctse
ENSMUSG00000031446,1268.630021,-0.893212919,0.215639922,-4.141334948,3.45E-05,0.002764273,Cul4a
ENSMUSG00000052336,47.78569638,1.338936857,0.362468498,3.699502551,0.000216022,0.012098966,Cx3cr1
ENSMUSG00000034855,97.82998256,1.955637112,0.313302528,6.223150937,4.87E-10,1.50E-07,Cxcl10
ENSMUSG00000023078,23.30110018,-1.741017956,0.413582199,-4.272872923,1.93E-05,0.001752815,Cxcl13
ENSMUSG00000029417,296.714094,1.009185229,0.305870662,3.30282235,0.00095717,0.035976392,Cxcl9
ENSMUSG00000046668,964.4517873,-0.982725057,0.303163234,-3.238503435,0.001201586,0.042767054,Cxxc5
ENSMUSG00000005547,19484.14561,1.089608052,0.249934984,4.361916622,1.29E-05,0.001226114,Cyp2a5
ENSMUSG00000025197,3221.505563,-1.015689756,0.241337271,-4.207120135,2.59E-05,0.002178544,Cyp2c23
ENSMUSG00000052520,9831.753911,-0.672337659,0.200316274,-3.356036854,0.00079068,0.031522335,Cyp2j5
ENSMUSG00000027983,448.5398672,-1.519221689,0.404604005,-3.755767348,0.000172811,0.010160723,Cyp2u1
ENSMUSG00000056035,166013.0916,1.609770012,0.356774819,4.548660485,5.40E-06,0.000570908,Cyp3a11
ENSMUSG00000026356,1425.936681,-0.999960441,0.199878758,-5.00197523,5.67E-07,8.65E-05,Dars
ENSMUSG00000046818,62.64451549,1.496811639,0.3522109,4.251629423,2.12E-05,0.001915394,Ddit4l
ENSMUSG00000026958,747.8171184,1.040880909,0.245384456,4.2430253,2.21E-05,0.001972276,Dpp7
ENSMUSG00000033308,20240.51647,-0.845200495,0.249198255,-3.390555185,0.000697512,0.028798317,Dpyd
ENSMUSG00000034774,121.2490176,-1.622988996,0.330160118,-4.902334578,9.47E-07,0.000132867,Dsg1c
ENSMUSG00000034457,45.79955704,1.288479814,0.403224775,3.248667651,0.001159469,0.041594102,Eda2r
ENSMUSG00000021696,38.55941152,1.913007591,0.409559839,4.848009729,1.25E-06,0.000169912,Elovl7
ENSMUSG00000041773,198.5114192,0.976033044,0.219759177,4.438857929,9.04E-06,0.000902464,Enc1
ENSMUSG00000037419,224.280316,0.944270379,0.243357146,3.879463598,0.000104687,0.006742799,Endod1
ENSMUSG00000015085,85.94022748,0.991318506,0.299448115,3.309096551,0.000935976,0.035461961,Entpd2
ENSMUSG00000022066,409.5168817,-0.785317717,0.186426499,-4.212065577,2.53E-05,0.002147103,Entpd4b
ENSMUSG00000002808,23.58450363,1.842778919,0.386214617,4.7159641,2.41E-06,0.000288886,Epdr1
ENSMUSG00000070644,2353.203598,-2.374076161,0.264913075,-8.951715684,3.50E-19,5.51E-16,Etnk2
ENSMUSG00000019232,917.9994428,-2.106410286,0.330118061,-6.367168938,1.93E-10,6.20E-08,Etnppl
ENSMUSG00000019874,61.29969143,1.759142423,0.354414616,4.956722681,7.17E-07,0.00010473,Fabp7
ENSMUSG00000027459,40.57752563,1.244019304,0.348484129,3.563965036,0.000365295,0.017787715,Fam110a
ENSMUSG00000027495,2528.30767,-0.956216023,0.223712978,-4.273295781,1.93E-05,0.001752815,Fam210b
ENSMUSG00000051225,43.96646949,2.287134069,0.402209646,5.804655013,6.45E-09,1.63E-06,Fam83a
ENSMUSG00000043068,229.4625207,1.205972806,0.265117736,4.548724504,5.40E-06,0.000570908,Fam89a
ENSMUSG00000008167,648.9607303,0.898094885,0.231387006,3.881846797,0.000103666,0.006738302,Fbxw9
ENSMUSG00000037712,1690.764395,-0.629774825,0.165378602,-3.807923812,0.000140138,0.008747848,Fermt2
ENSMUSG00000025278,476.3302257,0.953037372,0.273262421,3.489366471,0.000484167,0.021710901,Flnb
ENSMUSG00000049721,26.80141794,1.296176821,0.404124955,3.254468875,0.001136046,0.041170775,Gal3st1
ENSMUSG00000074802,150.435436,1.902036231,0.283365892,6.698660833,2.10E-11,9.31E-09,Gas2l3
ENSMUSG00000031451,623.3523275,1.038780567,0.267868336,3.879831739,0.000104529,0.006742799,Gas6
ENSMUSG00000038508,193.4622974,1.4373322,0.35307382,4.089127171,4.33E-05,0.003282595,Gdf15
ENSMUSG00000039131,49.03828135,3.176861942,0.408599992,7.427108006,1.11E-13,9.83E-11,Gipc2
ENSMUSG00000044005,3372.121375,-1.068036676,0.308958999,-3.453154996,0.000554071,0.024232036,Gls2
ENSMUSG00000093954,62.73104938,-3.364057438,0.409853011,-7.521756092,5.40E-14,5.11E-11,Gm16867
ENSMUSG00000097482,18.22537126,-1.369225248,0.383709744,-3.539519517,0.000400856,0.018775118,Gm17634
ENSMUSG00000116895,17.09083078,-1.407261199,0.406881143,-3.603607356,0.000313831,0.015999958,Gm3435
ENSMUSG00000112532,21.55929048,1.790737106,0.355211338,4.936283982,7.96E-07,0.000113969,Gm36283
ENSMUSG00000097321.1,58.14144002,-1.924552388,0.353277456,-5.412655735,6.21E-08,1.22E-05,Gm3704
ENSMUSG00000073555,1888.560282,-0.968070242,0.269229459,-3.59377827,0.000325917,0.016493739,Gm4951
ENSMUSG00000071633,2999.231563,-0.981456922,0.271529092,-3.612513941,0.000303243,0.015682301,Gm4952
ENSMUSG00000101514,240.7260628,-1.134342636,0.267334692,-4.239761107,2.24E-05,0.001981655,Gm5524
ENSMUSG00000032562,1422.307999,0.55228478,0.155850405,3.543655244,0.000394621,0.018577336,Gnai2
ENSMUSG00000034220,185.4914685,-1.918690506,0.410478623,-4.736494022,2.17E-06,0.000272675,Gpc1
ENSMUSG00000036427,1710.901096,0.903716288,0.282319935,3.203483073,0.00135776,0.047271406,Gpi1
ENSMUSG00000021340,1900.818263,-1.781370405,0.249968132,-7.121317246,1.07E-12,7.21E-10,Gpld1
