EntrezID,log2FC HFD,log2FC XN
Krt20,1.050654883,NA
Ugt2a3,-0.830255379,-0.678444393
Acta2,1.736593916,1.259344505
Zfp983,-0.861575376,-1.10417782
Hykk,-1.038771447,-0.751870694
Cd276,1.498138912,1.241932965
Cog5,-0.575379333,NA
Apex1,1.044395237,NA
Ripor2,-1.196692793,-1.26516707
1810046K07Rik,-2.153834002,NA
Slc17a2,-1.500341952,-1.260699073
Igfbp7,0.728685346,NA
Lrrn3,-1.06552765,NA
Srp72,-1.008490341,NA
Slc18a1,1.028509209,NA
Gpi1,0.81360483,NA
Adamts2,1.293502274,NA
Ppp6r2,-0.381024664,NA
Ttyh3,0.879201672,NA
Fgf1,-0.69686152,NA
H2-Aa,1.045606752,NA
Tubb4b,0.917400276,NA
Arhgef26,-0.689717558,NA
Unc93b1,0.707148014,NA
Elac1,-0.688211672,NA
Tmem71,0.94368817,NA
Lrfn3,0.827477855,NA
Asap3,-0.904111892,NA
Ss18,1.651284418,NA
Scd1,1.030278291,NA
Setd7,0.959438313,NA
Arhgap10,1.342827626,1.551273441
Il22ra1,-1.412575999,NA
Fgf2,-1.575008081,NA
Hook3,-0.568566323,NA
Tacc3,1.263254204,NA
Bag4,-0.592619126,NA
Letm2,-2.070011811,NA
Spon2,1.385027959,NA
Icam1,NA,1.100280031
Htra4,-1.102923924,NA
Serpine1,1.554875992,1.186960681
Ranbp10,-0.891511754,-1.004488079
Endod1,NA,0.839456026
Dtl,1.595666217,NA
Shank2,-1.295788824,-1.834687626
Wdhd1,NA,1.330447101
Nr0b2,NA,-1.518515721
Tnfrsf23,1.469293637,NA
Cd81,0.625222742,NA
Fam13a,-0.834424335,NA
Fermt2,NA,-0.611175982
Ckap2,1.530524663,NA
Vopp1,0.963164908,NA
N4bp2,-0.882269982,NA
Adh4,NA,-1.108685072
Tgm2,1.009695897,1.135205522
Ppm1k,-1.363153628,-0.903044554
Ano10,0.957390937,NA
A4gnt,1.646792414,NA
Dnajc22,-0.595671683,NA
Dexi,NA,-1.03863454
Smim3,1.129809054,NA
Cnbd2,1.015083876,NA
Atg5,-0.533300453,NA
Ttc39b,-0.830372408,NA
Trpm4,1.591548039,NA
Pcp4l1,NA,1.260905325
Pigu,0.552882238,NA
Rras,0.881601836,NA
Pmepa1,0.775990297,NA
Foxq1,-1.22715179,NA
Cdc40,-0.394407919,NA
Gdf15,NA,1.167470846
Car14,NA,-0.894617645
Atf5,-0.86678166,NA
Srd5a2,-0.945771151,NA
Akr1d1,-0.817312655,NA
Ctss,0.873331921,NA
Pkhd1l1,-1.147362661,NA
Ephx1,1.2000297,NA
Stap2,0.651811971,NA
Sccpdh,0.930005948,NA
Cables2,-0.950575639,NA
Anpep,0.580744264,NA
Lsm14b,-0.756073892,NA
Gipc2,1.898983943,2.625965245
